                    Logit Regression Results                    ;;;;;;
Dep. Variable:  ;TARGET          ;  No. Observations:  ;307511;;;
Model:          ;Logit           ;  Df Residuals:      ;307389;;;
Method:         ;MLE             ;  Df Model:          ;121;;;
Date:           ;Mon; 23 Dec 2019;  Pseudo R-squ.:     ;;;
Time:           ;13:23:07;  Log-Likelihood:    ;    -inf;;;
converged:      ;False           ;  LL-Null:           ; -86271.;;;
Covariance Type:;nonrobust       ;  LLR p-value:       ;1.000;;;
;;;;;;
;;;;;;
                            ;   coef   ; std err ;    z    ;P>|z| ;  [0.025 ;  0.975] 
SK_ID_CURR                  ;0,00; 6.63e-08;   -0.682; 0.495;#CAMPO!; 8.48e-08
FLAG_DOCUMENT_9             ;    0.0887;    0.133;    0.664; 0.507;   -0.173;    0.350
ELEVATORS_MEDI              ;   -0.8297;1.469;   -0.565; 0.572;-3.708;2.049
LANDAREA_MEDI               ;   -0.6660;1.192;   -0.558; 0.577;-3.003;1.671
FLAG_DOCUMENT_10            ;-20113,00;3.923;   -0.513; 0.608;-9.700;5.677
FLOORSMIN_MEDI              ;    0.6654;1.563;    0.426; 0.670;-2.397;3.728
NONLIVINGAPARTMENTS_MEDI    ;-18885,00;4.434;   -0.426; 0.670;-10.579;6.802
LIVINGAREA_AVG              ;    0.4907;1.193;    0.411; 0.681;-1.848;2.829
NONLIVINGAPARTMENTS_AVG     ;-13463,00;3.664;   -0.367; 0.713;-8.527;5.834
YEARS_BEGINEXPLUATATION_MODE;   -0.2411;    0.668;   -0.361; 0.718;-1.550;1.068
FLOORSMIN_AVG               ;   -0.4333;1.446;   -0.300; 0.764;-3.268;2.401
FLOORSMIN_MODE              ;   -0.2005;    0.690;   -0.291; 0.771;-1.552;1.151
AMT_REQ_CREDIT_BUREAU_WEEK  ;    0.0101;    0.035;    0.289; 0.773;   -0.058;    0.079
ENTRANCES_MODE              ;   -0.2128;    0.772;   -0.276; 0.783;-1.726;1.301
FLOORSMAX_AVG               ;    0.3083;1.234;    0.250; 0.803;-2.110;2.727
EMERGENCYSTATE_MODE         ;   -0.0120;    0.048;   -0.250; 0.803;   -0.106;    0.082
FLAG_OWN_REALTY             ;    0.0034;    0.016;    0.215; 0.830;   -0.028;    0.034
ELEVATORS_AVG               ;   -0.2518;1.271;   -0.198; 0.843;-2.743;2.240
LIVINGAREA_MEDI             ;   -0.2692;1.376;   -0.196; 0.845;-2.967;2.429
FONDKAPREMONT_MODE          ;    0.0017;    0.009;    0.188; 0.851;   -0.016;    0.019
LIVINGAREA_MODE             ;   -0.1321;    0.758;   -0.174; 0.862;-1.618;1.354
APARTMENTS_MEDI             ;   -0.2681;1.731;   -0.155; 0.877;-3.661;3.125
LANDAREA_MODE               ;   -0.1308;    0.913;   -0.143; 0.886;-1.921;1.659
NONLIVINGAREA_MEDI          ;    0.1822;1.383;    0.132; 0.895;-2.528;2.893
APARTMENTS_AVG              ;    0.2077;1.643;    0.126; 0.899;-3.012;3.428
AMT_REQ_CREDIT_BUREAU_MON   ;   -0.0012;    0.009;   -0.124; 0.901;   -0.020;    0.017
APARTMENTS_MODE             ;    0.0793;    0.929;    0.085; 0.932;-1.741;1.899
FLOORSMAX_MEDI              ;    0.0774;1.333;    0.058; 0.954;-2.535;2.690
FLAG_DOCUMENT_12            ;-64858,00;132.901;   -0.049; 0.961;-266.966;253.994
YEARS_BUILD_MODE            ;    0.0379;    0.900;    0.042; 0.966;-1.727;1.803
